x,w,w_ref
0.0,0.0,2.6959153686900023e-05
0.001001001001001,0.0,2.9935599981299917e-05
0.002002002002002,0.0,3.282963983240045e-05
0.003003003003003,0.0,3.561839885399959e-05
0.004004004004004,0.0,3.825585510760024e-05
0.005005005005005,0.0,4.082213609660039e-05
0.006006006006006,0.0,4.3280402852599945e-05
0.007007007007007,0.0,4.5628848642799945e-05
0.008008008008008,0.0,4.7915869214199686e-05
0.009009009009009,0.0,5.009565286599998e-05
0.01001001001001,0.0,5.219789988300007e-05
0.011011011011011,0.0,5.42472332374002e-05
0.012012012012012,0.0,5.619279083360004e-05
0.013013013013013,0.0,5.8085814913400036e-05
0.014014014014014,0.0,5.9928868087499344e-05
0.015015015015015,0.0,6.168280139470014e-05
0.016016016016016,0.0,6.33988452255008e-05
0.017017017017017,0.0,6.506285838079988e-05
0.018018018018018,0.0,6.66624718202993e-05
0.019019019019019,0.0,6.822997241419989e-05
0.02002002002002,0.0,6.974606560680024e-05
0.021021021021021,0.0,7.12173049230002e-05
0.022022022022022,0.0,7.266169016509946e-05
0.023023023023023,0.0,7.405764267760014e-05
0.024024024024024,0.0,7.54240337454996e-05
0.025025025025025,0.0,7.676842572550049e-05
0.026026026026026,0.0,7.806956669329998e-05
0.027027027027027,0.0,7.935286643789927e-05
0.028028028028028,0.0,8.06155616722001e-05
0.029029029029029,0.0,8.18487627305001e-05
0.03003003003003,0.0,8.306957989719956e-05
0.031031031031031,0.0,8.427267247110033e-05
0.032032032032032,0.0,8.545916157429948e-05
0.033033033033033,0.0,8.663758156289992e-05
0.034034034034034,0.0,8.780389764230078e-05
0.035035035035035,0.0,8.896381896670007e-05
0.036036036036036,0.0,9.012007187529994e-05
0.037037037037037,0.0,9.127298217590039e-05
0.038038038038038,0.0,9.242724857869925e-05
0.039039039039039,0.0,9.358268186020029e-05
0.04004004004004,0.0,9.474698096620035e-05
0.041041041041041,0.0,9.591816663140004e-05
0.042042042042042,0.0,9.709873573079952e-05
0.043043043043043,0.0,9.829945229429971e-05
0.044044044044044,0.0,9.95129238621998e-05
0.045045045045045,0.0,0.00010074882609180033
0.046046046046046,0.0,0.00010201461218000037
0.047047047047047,0.0,0.0001033000295741996
0.048048048048048,0.0,0.00010462753612449933
0.049049049049049,0.0,0.00010599300049379985
0.05005005005005,0.0,0.00010738638679699992
0.051051051051051,0.0,0.00010885100994180007
0.052052052052052,0.0,0.00011035952647960035
0.053053053053053,0.0,0.00011191389969320009
0.054054054054054,0.0,0.00011356746203870002
0.055055055055055,0.0,0.00011527530665709964
0.056056056056056,0.0,0.00011706346356759982
0.057057057057057,0.0,0.0001189730418100993
0.058058058058058,0.0,0.00012095567558859967
0.059059059059059,0.0,0.0001230732933041002
0.06006006006006,0.0,0.00012533661915789963
0.061061061061061,0.0,0.00012769853878940012
0.062062062062062,0.0,0.00013028340299669951
0.063063063063063,0.0,0.0001330400056081
0.064064064064064,0.0,0.0001359307587056992
0.065065065065065,0.0,0.00013918968567809987
0.066066066066066,0.0,0.00014264286683169942
0.067067067067067,0.0,0.00014634265435709958
0.068068068068068,0.0,0.00015047893104889933
0.069069069069069,0.0,0.0001548509351476995
0.07007007007007,0.0,0.00015959916012989964
0.071071071071071,0.0,0.0001648167687320996
0.072072072072072,0.0,0.00017032238366390066
0.073073073073073,0.0,0.00017639093927449955
0.074074074074074,0.0,0.00018296939761660008
0.075075075075075,0.0,0.00018990936772449955
0.076076076076076,0.0,0.0001977077606266
0.077077077077077,0.0,0.00020606530158649976
0.078078078078078,0.0,0.00021495139891709956
0.079079079079079,0.0,0.00022506930181899996
0.08008008008008,0.0,0.0002358591302141005
0.081081081081081,0.0,0.00024759642140890006
0.082082082082082,0.0,0.0002609229092911001
0.083083083083083,0.0,0.0002752178589072998
0.084084084084084,0.0,0.0002912562109199006
0.085085085085085,0.0,0.0003094584201819
0.086086086086086,0.0,0.00032913956107190074
0.087087087087087,0.0,0.0003522193071869
0.088088088088088,0.0,0.00037845482953509976
0.089089089089089,0.0,0.00040710453709889936
0.09009009009009,0.0,0.00044302602654909973
